date,country,operator,channel,pod_fill_rate,endpoint_requests,bid_requests,bid_responses,bid_wons,impressions,revenue,requested_pod_duration,filled_pod_duration,delivered_pod_duration
25-07-22,BR,Op_002,Channel_002,0.04,6052,638122,30887,1363,776,13.14,102.54,7.73,4.31
26-07-22,MX,Op_002,Channel_002,0.2,4205,370497,51679,11716,5032,20.24,94.9,43.62,18.89
26-07-22,BR,Op_002,Channel_002,0.07,6423,554489,44575,3977,1781,17.27,92.99,13.56,6.21
27-07-22,BR,Op_002,Channel_002,0.17,5525,514910,92319,13104,5740,30.07,100.83,39.3,17.55
27-07-22,MX,Op_002,Channel_002,0.17,9957,948369,147864,29955,11370,45.72,309.09,141.69,53.82
28-07-22,BR,Op_002,Channel_002,0.23,6179,540249,88779,29242,8630,36.96,94.15,72.15,21.62
28-07-22,MX,Op_002,Channel_002,0.14,3586,315416,30926,6944,2939,11.84,94.6,31.48,13.36
29-07-22,BR,Op_002,Channel_002,0.09,16905,1557630,48231,10239,5226,60.72,300.78,49.38,26.79
29-07-22,MX,Op_002,Channel_002,0.15,9534,894645,101499,19650,8865,35.76,305.37,103.56,46.62
30-07-22,BR,Op_002,Channel_002,0.05,23226,2176632,14508,7422,3831,51.78,302.97,26.25,13.71
30-07-22,MX,Op_002,Channel_002,0.12,4237,393321,26653,7655,3088,12.42,100.03,28.2,11.51
31-07-22,MX,Op_002,Channel_002,0.16,9688,931980,91562,26572,10120,40.7,207.48,86.66,33.2
31-07-22,BR,Op_002,Channel_002,0.04,8655,832910,4003,2167,1117,16.05,103.77,7.08,3.67
01-08-22,BR,Op_002,Channel_002,0.03,20157,1656657,3777,2844,1509,26.91,264.75,12.6,6.69
01-08-22,MX,Op_002,Channel_002,0.09,12615,1056216,58272,15879,6090,24.48,270.27,60.3,23.4
02-08-22,BR,Op_002,Channel_002,0.03,13474,1172780,5860,2520,1354,21.9,187.44,11.4,6.18
02-08-22,MX,Op_002,Channel_002,0.1,4127,359837,17431,5103,2153,8.73,93.89,20.9,9.08
03-08-22,BR,Op_002,Channel_002,0.04,6356,600621,2492,1252,779,12.33,101.85,6.06,3.74
03-08-22,MX,Op_002,Channel_002,0.08,7610,724184,30734,10068,3688,14.94,205.14,45.8,17.18
04-08-22,BR,Op_002,Channel_002,0.03,19941,1774170,5145,3021,1611,27.72,287.43,14.37,7.8
04-08-22,MX,Op_002,Channel_002,0.07,3876,336738,11054,3491,1413,5.7,93.55,16.46,6.89
05-08-22,BR,Op_002,Channel_002,0.02,10648,1045964,2090,902,506,8.18,211.82,5.66,3.26
05-08-22,MX,Op_002,Channel_002,0.05,3307,322166,7465,2108,896,3.67,105.03,11.81,5.28
06-08-22,MX,Op_002,Channel_002,0.07,13083,1139094,37899,12813,4512,18.27,281.28,52.8,19.41
06-08-22,BR,Op_002,Channel_002,0,15812,1407400,1292,334,158,1.14,191.74,1.64,0.76
07-08-22,MX,Op_002,Channel_002,0.03,5085,472064,8968,2564,935,3.77,100.04,8.57,3.2
07-08-22,BR,Op_002,Channel_002,0,17898,1623696,1136,298,114,0.98,195.44,1.42,0.62
08-08-22,BR,Op_002,Channel_002,0.04,20817,1908789,17454,5232,2304,40.47,296.37,23.64,10.41
08-08-22,MX,Op_002,Channel_002,0.05,8338,748202,21774,7582,2286,9.18,193.32,28.14,9.46
09-08-22,BR,Op_002,Channel_002,0.05,18963,1732881,14082,7389,3297,58.65,295.35,35.58,15.9
09-08-22,MX,Op_002,Channel_002,0.08,7948,738182,29568,10476,4256,17.08,200.16,38.16,16.04
10-08-22,BR,Op_002,Channel_002,0.04,7262,660576,4673,2241,1105,16.37,97.98,8.34,4.13
10-08-22,MX,Op_002,Channel_002,0.07,4060,370644,15224,5036,1771,7.11,98.37,17.62,6.42
11-08-22,BR,Op_002,Channel_002,0.03,20070,1996569,13689,4971,2376,31.92,321.81,20.73,9.96
11-08-22,MX,Op_002,Channel_002,0.06,11553,1121673,35610,11715,4665,18.75,314.07,47.94,19.44
12-08-22,MX,Op_002,Channel_002,0.08,11907,1198113,50175,14475,5769,23.28,325.62,60.42,24.75
12-08-22,BR,Op_002,Channel_002,0.01,12012,1224790,2346,840,390,4.02,219.84,4.22,2.16
13-08-22,MX,Op_002,Channel_002,0.05,4486,426277,12959,3763,1208,4.86,102.43,14.23,4.73
13-08-22,BR,Op_002,Channel_002,0,21588,2093682,1284,447,237,1.65,313.65,1.95,1.05
14-08-22,MX,Op_002,Channel_002,0.04,16122,1437357,36519,9906,3213,13.02,288.09,32.01,10.95
14-08-22,BR,Op_002,Channel_002,0,8791,776819,233,143,43,0.26,95.17,0.27,0.09
15-08-22,MX,Op_002,Channel_002,0.02,12030,1112268,17355,5403,1446,5.94,298.86,24.45,7.38
15-08-22,BR,Op_002,Channel_002,0,18711,1755807,621,249,105,0.81,303.39,1.59,0.72
16-08-22,MX,Op_002,Channel_002,0.03,11925,1061865,23361,5115,1473,6.15,287.79,23.79,7.23
16-08-22,BR,Op_002,Channel_002,0,20556,1918932,339,270,114,0.45,301.8,1.05,0.48
17-08-22,MX,Op_002,Channel_002,0.04,11289,1035036,26238,5907,2298,9.42,294.21,27.72,11.25
17-08-22,BR,Op_002,Channel_002,0,12916,1193276,778,214,100,0.74,197.36,1.26,0.64
18-08-22,MX,Op_002,Channel_002,0.03,11880,1062336,31758,7539,2274,9.12,284.28,31.38,9.57
18-08-22,BR,Op_002,Channel_002,0,20019,1852101,246,87,30,0.15,294.18,0.24,0.09
19-08-22,MX,Op_002,Channel_002,0.07,11304,1015896,41715,11664,3876,15.69,285.72,56.01,19.53
19-08-22,BR,Op_002,Channel_002,0,14144,1283400,654,160,66,0.5,192.3,0.78,0.38
20-08-22,MX,Op_002,Channel_002,0.04,4387,428863,10584,2608,1098,4.44,103.68,10.54,4.57
20-08-22,BR,Op_002,Channel_002,0,7635,722767,810,338,138,0.74,100.33,0.97,0.43
21-08-22,MX,Op_002,Channel_002,0.06,15336,1444800,48753,13575,5325,21.42,299.61,45.3,18.24
21-08-22,BR,Op_002,Channel_002,0,16682,1569070,718,440,188,0.78,199.4,0.82,0.36
22-08-22,MX,Op_002,Channel_002,0.06,9278,808608,24354,5674,2750,11.24,184.64,20.98,10.34
22-08-22,BR,Op_002,Channel_002,0,6520,560245,137,52,25,0.21,90.99,0.35,0.19
